"filename", "language", "JavaScript", "HTML", "CSS", "YAML", "Properties", "JSON", "XML", "comment", "blank", "total"
"/home/michael/Desktop/fastlab-enigma/app/containers/ProjectsPage/Loadable.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 3, 3, 12
"/home/michael/Desktop/fastlab-enigma/app/containers/ProjectsPage/index.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 14, 86
"/home/michael/Desktop/fastlab-enigma/app/containers/ProjectsPage/messages.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 5, 3, 16
"/home/michael/Desktop/fastlab-enigma/app/containers/RelatedProjectsContainer/Overlay.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 9, 44
"/home/michael/Desktop/fastlab-enigma/app/containers/RelatedProjectsContainer/index.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 10, 93
"/home/michael/Desktop/fastlab-enigma/app/containers/ResearcherPage/Loadable.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 3, 3, 12
"/home/michael/Desktop/fastlab-enigma/app/containers/ResearcherPage/index.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 17, 157
"/home/michael/Desktop/fastlab-enigma/app/containers/ResearcherPage/messages.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 5, 3, 16
"/home/michael/Desktop/fastlab-enigma/app/containers/ResearchersContainer/Links.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 13, 76
"/home/michael/Desktop/fastlab-enigma/app/containers/ResearchersContainer/StaffDiv.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 23, 147
"/home/michael/Desktop/fastlab-enigma/app/containers/ResearchersContainer/index.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 12, 91
"/home/michael/Desktop/fastlab-enigma/app/containers/ResearchersContainer/messages.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 5, 3, 20
"/home/michael/Desktop/fastlab-enigma/app/containers/StaffLink/StaffName.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/home/michael/Desktop/fastlab-enigma/app/containers/StaffLink/index.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 6, 66
"/home/michael/Desktop/fastlab-enigma/app/containers/UpdateContainer/index.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 4, 14, 173
"/home/michael/Desktop/fastlab-enigma/app/containers/UpdatePage/Loadable.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 3, 3, 12
"/home/michael/Desktop/fastlab-enigma/app/containers/UpdatePage/index.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 0, 21, 190
"/home/michael/Desktop/fastlab-enigma/app/containers/UpdatePage/messages.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 5, 3, 16
"/home/michael/Desktop/fastlab-enigma/app/containers/UpdatesPage/Loadable.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 3, 3, 12
"/home/michael/Desktop/fastlab-enigma/app/containers/UpdatesPage/index.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 14, 84
"/home/michael/Desktop/fastlab-enigma/app/containers/UpdatesPage/messages.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 5, 3, 16
"/home/michael/Desktop/fastlab-enigma/app/containers/VideoHeader/Overlay.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 8, 47
"/home/michael/Desktop/fastlab-enigma/app/containers/VideoHeader/index.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 12, 79
"/home/michael/Desktop/fastlab-enigma/app/containers/VideoLanding/Overlay.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 9, 54
"/home/michael/Desktop/fastlab-enigma/app/containers/VideoLanding/index.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 13, 84
